1: n = 7 m = 3, ms = 12, mst = a[0..3][0..1]
55: n = 1 m = 10, ms = 4, mst = a[0..0][0..0]
56: n = 5 m = 3, ms = 7, mst = a[3..4][2..2]
57: n = 10 m = 6, ms = 37, mst = a[1..9][1..5]
58: n = 1 m = 2, ms = 3, mst = a[0..0][0..1]
59: n = 8 m = 1, ms = 6, mst = a[3..7][0..0]
60: n = 6 m = 9, ms = 28, mst = a[4..5][0..8]
61: n = 7 m = 1, ms = 4, mst = a[4..5][0..0]
62: n = 9 m = 1, ms = 4, mst = a[1..3][0..0]
63: n = 4 m = 3, ms = 2, mst = a[2..2][0..0]
64: n = 1 m = 2, ms = 3, mst = a[0..0][0..0]
65: n = 9 m = 7, ms = 19, mst = a[0..7][0..4]
66: n = 4 m = 4, ms = 10, mst = a[2..3][2..3]
67: n = 9 m = 7, ms = 14, mst = a[1..8][4..5]
68: n = 2 m = 10, ms = 15, mst = a[0..0][0..8]
69: n = 6 m = 8, ms = 11, mst = a[0..2][0..3]
70: n = 3 m = 6, ms = 8, mst = a[0..1][2..3]
71: n = 10 m = 4, ms = 7, mst = a[0..1][1..2]
72: n = 5 m = 7, ms = 13, mst = a[1..3][0..4]
73: n = 1 m = 8, ms = 12, mst = a[0..0][4..7]
74: n = 6 m = 6, ms = 23, mst = a[1..4][1..3]
75: n = 1 m = 9, ms = 16, mst = a[0..0][0..8]
76: n = 4 m = 5, ms = 6, mst = a[2..2][2..3]
77: n = 7 m = 3, ms = 19, mst = a[1..5][1..2]
78: n = 4 m = 7, ms = 15, mst = a[0..1][3..6]
79: n = 6 m = 2, ms = 9, mst = a[0..5][0..1]
80: n = 5 m = 7, ms = 21, mst = a[0..3][2..4]
81: n = 7 m = 4, ms = 10, mst = a[6..6][0..2]
82: n = 3 m = 5, ms = 7, mst = a[0..2][4..4]
83: n = 8 m = 2, ms = 16, mst = a[1..5][0..1]
84: n = 7 m = 7, ms = 34, mst = a[0..3][1..6]
85: n = 10 m = 1, ms = 16, mst = a[2..6][0..0]
86: n = 10 m = 6, ms = 24, mst = a[2..4][1..5]
87: n = 8 m = 5, ms = 13, mst = a[0..5][1..3]
88: n = 10 m = 2, ms = 7, mst = a[1..5][0..1]
89: n = 8 m = 7, ms = 21, mst = a[0..3][0..6]
90: n = 4 m = 7, ms = 11, mst = a[1..3][1..3]
91: n = 10 m = 10, ms = 23, mst = a[6..7][1..8]
92: n = 4 m = 9, ms = 28, mst = a[0..2][1..8]
93: n = 4 m = 5, ms = 14, mst = a[2..3][0..4]
94: n = 1 m = 9, ms = 5, mst = a[0..0][2..3]
95: n = 5 m = 10, ms = 12, mst = a[0..3][2..2]
96: n = 4 m = 9, ms = 27, mst = a[1..3][0..8]
97: n = 8 m = 5, ms = 17, mst = a[0..5][0..2]
98: n = 3 m = 1, ms = 5, mst = a[0..1][0..0]
99: n = 2 m = 4, ms = 10, mst = a[0..1][0..3]
100: n = 2 m = 9, ms = 5, mst = a[1..1][6..8]
101: n = 9 m = 2, ms = 5, mst = a[7..8][1..1]
102: n = 5 m = 10, ms = 22, mst = a[0..4][1..9]
103: n = 8 m = 2, ms = 13, mst = a[0..6][1..1]
104: n = 5 m = 10, ms = 22, mst = a[0..4][2..3]
105: n = 2 m = 10, ms = 6, mst = a[0..0][0..1]
106: n = 6 m = 3, ms = 4, mst = a[2..2][1..1]
107: n = 4 m = 7, ms = 22, mst = a[0..3][0..6]
108: n = 6 m = 4, ms = 8, mst = a[0..0][0..3]
109: n = 2 m = 8, ms = 4, mst = a[0..0][6..7]
110: n = 5 m = 9, ms = 16, mst = a[0..4][1..4]
111: n = 4 m = 8, ms = 7, mst = a[1..2][2..4]
112: n = 10 m = 1, ms = 3, mst = a[5..5][0..0]
113: n = 4 m = 10, ms = 17, mst = a[0..2][2..9]
114: n = 9 m = 6, ms = 17, mst = a[2..8][1..2]
115: n = 10 m = 2, ms = 11, mst = a[2..9][0..1]
116: n = 4 m = 1, ms = 5, mst = a[2..3][0..0]
117: n = 10 m = 2, ms = 8, mst = a[8..9][0..0]
118: n = 10 m = 5, ms = 14, mst = a[0..6][3..3]
119: n = 10 m = 6, ms = 16, mst = a[2..7][1..5]
120: n = 6 m = 7, ms = 17, mst = a[0..2][0..2]
121: n = 9 m = 9, ms = 25, mst = a[0..4][3..8]
122: n = 2 m = 9, ms = 18, mst = a[0..1][0..8]
123: n = 8 m = 8, ms = 15, mst = a[6..7][4..6]
124: n = 5 m = 5, ms = 12, mst = a[0..1][0..1]
125: n = 6 m = 9, ms = 28, mst = a[0..5][2..4]
126: n = 9 m = 2, ms = 6, mst = a[2..8][1..1]
127: n = 6 m = 7, ms = 9, mst = a[3..3][1..6]
128: n = 7 m = 1, ms = 14, mst = a[2..6][0..0]
129: n = 7 m = 1, ms = 10, mst = a[2..4][0..0]
130: n = 3 m = 9, ms = 15, mst = a[1..2][5..8]
131: n = 10 m = 3, ms = 19, mst = a[6..9][0..2]
132: n = 1 m = 10, ms = 8, mst = a[0..0][0..1]
133: n = 9 m = 9, ms = 24, mst = a[6..8][0..4]
134: n = 9 m = 7, ms = 27, mst = a[4..8][2..6]
135: n = 8 m = 5, ms = 14, mst = a[3..7][1..4]
136: n = 10 m = 1, ms = 6, mst = a[8..9][0..0]
137: n = 1 m = 8, ms = 6, mst = a[0..0][5..6]
138: n = 1 m = 1, ms = 3, mst = a[0..0][0..0]
139: n = 8 m = 2, ms = 7, mst = a[6..7][0..1]
140: n = 9 m = 1, ms = 8, mst = a[4..6][0..0]
141: n = 4 m = 5, ms = 4, mst = a[1..1][3..3]
142: n = 7 m = 6, ms = 9, mst = a[1..3][0..3]
143: n = 7 m = 7, ms = 11, mst = a[0..5][0..1]
144: n = 6 m = 5, ms = 17, mst = a[1..5][1..4]
145: n = 3 m = 4, ms = 10, mst = a[1..2][2..3]
146: n = 9 m = 3, ms = 8, mst = a[8..8][0..2]
147: n = 1 m = 2, ms = 1, mst = a[0..0][0..0]
148: n = 9 m = 1, ms = 6, mst = a[3..7][0..0]
149: n = 8 m = 10, ms = 20, mst = a[2..5][4..9]
150: n = 7 m = 4, ms = 19, mst = a[1..6][0..3]
151: n = 5 m = 4, ms = 9, mst = a[0..4][0..1]
152: n = 3 m = 5, ms = 4, mst = a[2..2][1..1]
153: n = 7 m = 4, ms = 8, mst = a[3..3][0..3]
154: n = 4 m = 1, ms = 4, mst = a[1..1][0..0]
155: n = 8 m = 8, ms = 17, mst = a[1..5][0..4]
156: n = 10 m = 9, ms = 13, mst = a[4..9][1..3]
157: n = 5 m = 6, ms = 16, mst = a[2..4][0..3]
158: n = 4 m = 10, ms = 8, mst = a[2..2][0..3]
159: n = 6 m = 4, ms = 10, mst = a[1..3][0..0]
160: n = 1 m = 8, ms = 2, mst = a[0..0][4..4]
161: n = 9 m = 4, ms = 21, mst = a[1..5][0..3]
162: n = 1 m = 1, ms = 4, mst = a[0..0][0..0]
163: n = 6 m = 7, ms = 22, mst = a[0..3][0..6]
164: n = 8 m = 9, ms = 17, mst = a[0..7][4..4]
165: n = 7 m = 9, ms = 14, mst = a[3..5][0..3]
166: n = 6 m = 6, ms = 11, mst = a[1..5][0..1]
167: n = 8 m = 1, ms = 8, mst = a[1..5][0..0]
168: n = 9 m = 8, ms = 30, mst = a[1..8][4..7]
169: n = 10 m = 9, ms = 16, mst = a[3..6][0..3]
170: n = 8 m = 6, ms = 24, mst = a[0..6][0..5]
171: n = 8 m = 3, ms = 6, mst = a[0..6][2..2]
172: n = 4 m = 6, ms = 8, mst = a[0..1][2..5]
173: n = 4 m = 10, ms = 14, mst = a[0..1][5..9]
174: n = 2 m = 4, ms = 8, mst = a[0..0][2..3]
175: n = 6 m = 5, ms = 12, mst = a[0..4][1..4]
176: n = 9 m = 3, ms = 6, mst = a[0..3][2..2]
177: n = 7 m = 10, ms = 33, mst = a[0..6][4..9]
178: n = 5 m = 8, ms = 10, mst = a[1..1][0..7]
179: n = 3 m = 7, ms = 9, mst = a[0..2][5..6]
180: n = 8 m = 1, ms = 4, mst = a[5..5][0..0]
181: n = 9 m = 1, ms = 3, mst = a[0..1][0..0]
182: n = 10 m = 8, ms = 24, mst = a[1..7][4..5]
183: n = 6 m = 8, ms = 10, mst = a[2..4][7..7]
184: n = 2 m = 7, ms = 14, mst = a[0..1][0..5]
185: n = 8 m = 8, ms = 16, mst = a[0..1][1..6]
186: n = 2 m = 1, ms = 3, mst = a[1..1][0..0]
187: n = 1 m = 4, ms = 6, mst = a[0..0][1..2]
188: n = 6 m = 10, ms = 12, mst = a[4..5][2..9]
189: n = 9 m = 1, ms = 9, mst = a[2..7][0..0]
190: n = 8 m = 8, ms = 16, mst = a[0..4][4..5]
191: n = 4 m = 8, ms = 5, mst = a[0..1][5..6]
192: n = 4 m = 5, ms = 20, mst = a[0..3][0..4]
193: n = 7 m = 3, ms = 11, mst = a[0..3][0..0]
194: n = 2 m = 6, ms = 22, mst = a[0..1][0..5]
195: n = 7 m = 1, ms = 21, mst = a[0..5][0..0]
196: n = 8 m = 1, ms = 16, mst = a[0..7][0..0]
197: n = 9 m = 1, ms = 14, mst = a[0..4][0..0]
198: n = 7 m = 6, ms = 25, mst = a[0..5][2..5]
199: n = 7 m = 4, ms = 27, mst = a[0..6][0..3]
200: n = 1 m = 3, ms = 4, mst = a[0..0][0..0]
201: n = 9 m = 1, ms = 1, mst = a[4..4][0..0]
202: n = 5 m = 10, ms = 19, mst = a[1..4][2..9]
203: n = 4 m = 7, ms = 32, mst = a[0..3][1..6]
204: n = 9 m = 7, ms = 17, mst = a[1..4][3..5]
205: n = 4 m = 5, ms = 10, mst = a[0..1][0..1]
206: n = 8 m = 3, ms = 10, mst = a[0..7][0..1]
207: n = 10 m = 4, ms = 18, mst = a[0..8][2..3]
208: n = 5 m = 1, ms = 3, mst = a[2..2][0..0]
209: n = 3 m = 4, ms = 16, mst = a[0..2][1..3]
210: n = 5 m = 1, ms = 3, mst = a[0..0][0..0]
211: n = 6 m = 3, ms = 15, mst = a[2..4][0..2]
212: n = 10 m = 9, ms = 44, mst = a[0..9][4..8]
213: n = 9 m = 4, ms = 17, mst = a[2..8][0..1]
214: n = 1 m = 4, ms = 3, mst = a[0..0][1..2]
215: n = 3 m = 2, ms = 5, mst = a[1..2][0..0]
216: n = 5 m = 7, ms = 32, mst = a[1..4][0..4]
217: n = 9 m = 1, ms = 4, mst = a[0..3][0..0]
218: n = 6 m = 4, ms = 9, mst = a[0..5][0..1]
219: n = 10 m = 3, ms = 27, mst = a[1..9][0..2]
220: n = 3 m = 2, ms = 4, mst = a[2..2][0..1]
221: n = 7 m = 9, ms = 39, mst = a[0..5][0..4]
222: n = 4 m = 7, ms = 16, mst = a[0..2][0..4]
223: n = 8 m = 6, ms = 23, mst = a[0..7][0..5]
224: n = 7 m = 8, ms = 36, mst = a[0..6][1..6]
225: n = 2 m = 8, ms = 13, mst = a[0..1][0..6]
226: n = 3 m = 1, ms = 0, mst = a[1..1][0..0]
227: n = 8 m = 3, ms = 9, mst = a[1..3][2..2]
228: n = 1 m = 1, ms = 0, mst is empty
229: n = 9 m = 7, ms = 24, mst = a[0..5][0..6]
230: n = 6 m = 8, ms = 20, mst = a[1..4][4..7]
231: n = 7 m = 2, ms = 8, mst = a[3..5][1..1]
232: n = 7 m = 6, ms = 28, mst = a[2..6][0..3]
233: n = 7 m = 5, ms = 12, mst = a[0..3][0..2]
234: n = 4 m = 10, ms = 16, mst = a[0..0][1..9]
235: n = 1 m = 3, ms = 4, mst = a[0..0][0..1]
236: n = 7 m = 2, ms = 8, mst = a[2..4][0..0]
237: n = 8 m = 4, ms = 15, mst = a[0..2][1..3]
238: n = 2 m = 6, ms = 4, mst = a[1..1][2..2]
239: n = 9 m = 7, ms = 11, mst = a[0..7][2..2]
240: n = 8 m = 6, ms = 28, mst = a[0..3][1..4]
241: n = 4 m = 8, ms = 13, mst = a[0..3][5..7]
242: n = 3 m = 4, ms = 5, mst = a[0..0][0..2]
243: n = 5 m = 10, ms = 32, mst = a[0..3][5..9]
244: n = 6 m = 6, ms = 40, mst = a[0..5][1..4]
245: n = 7 m = 4, ms = 12, mst = a[0..1][1..3]
246: n = 9 m = 3, ms = 10, mst = a[5..5][0..2]
247: n = 1 m = 9, ms = 9, mst = a[0..0][1..7]
248: n = 7 m = 8, ms = 49, mst = a[0..6][0..5]
249: n = 5 m = 7, ms = 22, mst = a[0..4][1..2]
250: n = 5 m = 7, ms = 4, mst = a[1..1][5..5]
251: n = 10 m = 2, ms = 5, mst = a[2..4][1..1]
252: n = 10 m = 10, ms = 34, mst = a[0..9][5..9]
253: n = 4 m = 6, ms = 8, mst = a[2..3][3..4]
254: n = 2 m = 6, ms = 10, mst = a[0..0][0..5]
255: n = 7 m = 3, ms = 12, mst = a[4..6][0..1]
256: n = 5 m = 7, ms = 18, mst = a[0..3][5..6]
257: n = 10 m = 5, ms = 14, mst = a[1..6][2..3]
258: n = 3 m = 10, ms = 19, mst = a[1..2][2..9]
259: n = 7 m = 2, ms = 11, mst = a[1..3][0..1]
260: n = 9 m = 5, ms = 6, mst = a[2..3][0..3]
261: n = 2 m = 8, ms = 8, mst = a[0..1][5..7]
262: n = 4 m = 7, ms = 16, mst = a[0..3][0..4]
263: n = 5 m = 4, ms = 8, mst = a[3..4][0..0]
264: n = 4 m = 6, ms = 7, mst = a[0..0][1..3]
265: n = 8 m = 10, ms = 27, mst = a[3..7][6..8]
266: n = 2 m = 6, ms = 7, mst = a[0..1][4..5]
267: n = 2 m = 3, ms = 10, mst = a[0..1][1..2]
268: n = 3 m = 3, ms = 4, mst = a[0..2][2..2]
269: n = 2 m = 9, ms = 7, mst = a[0..1][7..8]
270: n = 3 m = 3, ms = 4, mst = a[0..1][0..1]
271: n = 10 m = 3, ms = 10, mst = a[1..5][2..2]
272: n = 1 m = 1, ms = 0, mst is empty
273: n = 8 m = 6, ms = 13, mst = a[0..7][1..1]
274: n = 2 m = 6, ms = 4, mst = a[0..0][3..3]
275: n = 6 m = 6, ms = 21, mst = a[2..4][0..4]
276: n = 5 m = 10, ms = 11, mst = a[2..4][3..5]
277: n = 2 m = 4, ms = 2, mst = a[0..1][0..0]
278: n = 6 m = 8, ms = 10, mst = a[0..5][6..7]
279: n = 10 m = 3, ms = 6, mst = a[7..8][2..2]
280: n = 7 m = 2, ms = 12, mst = a[0..6][0..1]
281: n = 7 m = 1, ms = 9, mst = a[4..6][0..0]
282: n = 7 m = 6, ms = 6, mst = a[0..1][0..2]
283: n = 7 m = 3, ms = 7, mst = a[0..1][0..0]
284: n = 1 m = 7, ms = 3, mst = a[0..0][3..3]
285: n = 6 m = 4, ms = 11, mst = a[3..5][1..2]
286: n = 8 m = 1, ms = 2, mst = a[3..3][0..0]
287: n = 4 m = 1, ms = 4, mst = a[2..2][0..0]
288: n = 8 m = 5, ms = 15, mst = a[2..6][3..4]
289: n = 2 m = 7, ms = 3, mst = a[0..0][6..6]
290: n = 9 m = 4, ms = 28, mst = a[3..6][0..3]
291: n = 2 m = 2, ms = 5, mst = a[0..1][0..1]
292: n = 5 m = 2, ms = 0, mst = a[3..3][1..1]
293: n = 4 m = 9, ms = 21, mst = a[0..2][2..6]
294: n = 6 m = 9, ms = 34, mst = a[1..5][1..8]
295: n = 2 m = 10, ms = 4, mst = a[1..1][8..9]
296: n = 5 m = 9, ms = 29, mst = a[0..3][0..8]
297: n = 5 m = 2, ms = 2, mst = a[3..3][1..1]
298: n = 7 m = 3, ms = 20, mst = a[3..4][0..2]
299: n = 8 m = 6, ms = 15, mst = a[5..6][3..5]
300: n = 6 m = 6, ms = 11, mst = a[1..5][1..4]
301: n = 4 m = 5, ms = 10, mst = a[2..2][0..4]
302: n = 5 m = 1, ms = 4, mst = a[1..1][0..0]
303: n = 8 m = 2, ms = 14, mst = a[1..7][0..1]
304: n = 7 m = 1, ms = 4, mst = a[4..6][0..0]
305: n = 3 m = 10, ms = 7, mst = a[1..2][0..1]
306: n = 3 m = 1, ms = 2, mst = a[1..1][0..0]
307: n = 7 m = 2, ms = 13, mst = a[2..5][0..1]
308: n = 10 m = 7, ms = 18, mst = a[1..8][4..4]
309: n = 9 m = 10, ms = 50, mst = a[0..5][0..8]
310: n = 2 m = 10, ms = 18, mst = a[0..1][4..9]
311: n = 2 m = 10, ms = 7, mst = a[0..0][1..7]
312: n = 9 m = 8, ms = 18, mst = a[1..8][0..1]
313: n = 8 m = 5, ms = 18, mst = a[0..2][2..4]
314: n = 6 m = 8, ms = 35, mst = a[0..5][0..6]
315: n = 2 m = 4, ms = 7, mst = a[0..0][0..3]
316: n = 5 m = 6, ms = 10, mst = a[0..1][1..5]
317: n = 8 m = 4, ms = 26, mst = a[1..5][0..3]
318: n = 6 m = 6, ms = 24, mst = a[1..5][0..5]
319: n = 8 m = 7, ms = 17, mst = a[4..7][0..6]
320: n = 7 m = 7, ms = 18, mst = a[0..1][0..6]
321: n = 4 m = 1, ms = 8, mst = a[2..3][0..0]
322: n = 9 m = 3, ms = 12, mst = a[2..8][1..2]
323: n = 6 m = 2, ms = 8, mst = a[4..4][0..1]
324: n = 5 m = 2, ms = 6, mst = a[0..0][0..1]
325: n = 8 m = 7, ms = 37, mst = a[1..4][1..6]
326: n = 7 m = 9, ms = 27, mst = a[0..4][0..8]
327: n = 7 m = 3, ms = 8, mst = a[1..2][0..2]
328: n = 9 m = 5, ms = 6, mst = a[3..5][2..2]
329: n = 1 m = 9, ms = 3, mst = a[0..0][3..3]
330: n = 10 m = 5, ms = 31, mst = a[0..6][1..4]
331: n = 5 m = 7, ms = 15, mst = a[1..4][0..4]
332: n = 4 m = 2, ms = 5, mst = a[0..1][0..0]
333: n = 2 m = 9, ms = 7, mst = a[0..1][5..5]
334: n = 7 m = 3, ms = 4, mst = a[3..3][1..2]
335: n = 9 m = 4, ms = 9, mst = a[5..7][1..3]
336: n = 6 m = 4, ms = 9, mst = a[0..0][0..2]
337: n = 8 m = 6, ms = 21, mst = a[1..7][0..5]
338: n = 3 m = 4, ms = 11, mst = a[0..2][3..3]
339: n = 10 m = 5, ms = 21, mst = a[0..7][1..3]
340: n = 10 m = 8, ms = 32, mst = a[1..5][3..6]
341: n = 4 m = 4, ms = 9, mst = a[2..3][0..1]
342: n = 8 m = 2, ms = 13, mst = a[0..7][0..1]
343: n = 10 m = 10, ms = 19, mst = a[6..7][0..9]
344: n = 1 m = 4, ms = 6, mst = a[0..0][1..2]
345: n = 6 m = 2, ms = 14, mst = a[2..5][0..1]
346: n = 7 m = 10, ms = 23, mst = a[0..3][1..7]
347: n = 9 m = 5, ms = 11, mst = a[4..7][2..2]
348: n = 2 m = 2, ms = 6, mst = a[0..1][0..1]
349: n = 8 m = 9, ms = 21, mst = a[1..2][1..6]
350: n = 3 m = 7, ms = 21, mst = a[0..2][0..6]
351: n = 1 m = 6, ms = 6, mst = a[0..0][1..2]
352: n = 7 m = 1, ms = 5, mst = a[3..4][0..0]
353: n = 6 m = 5, ms = 21, mst = a[0..4][0..3]
354: n = 1 m = 5, ms = 5, mst = a[0..0][2..4]
355: n = 8 m = 5, ms = 15, mst = a[1..2][0..3]
356: n = 10 m = 4, ms = 21, mst = a[2..4][0..3]
357: n = 1 m = 1, ms = 4, mst = a[0..0][0..0]
358: n = 6 m = 4, ms = 22, mst = a[0..5][0..3]
359: n = 3 m = 1, ms = 1, mst = a[1..1][0..0]
360: n = 7 m = 10, ms = 16, mst = a[1..2][7..9]
361: n = 7 m = 6, ms = 14, mst = a[0..3][1..3]
362: n = 10 m = 7, ms = 19, mst = a[2..3][1..5]
363: n = 9 m = 4, ms = 25, mst = a[0..8][0..3]
364: n = 4 m = 2, ms = 16, mst = a[0..3][0..1]
365: n = 1 m = 2, ms = 0, mst is empty
366: n = 4 m = 3, ms = 7, mst = a[0..1][0..1]
367: n = 2 m = 8, ms = 16, mst = a[0..1][1..7]
368: n = 2 m = 7, ms = 7, mst = a[0..1][0..2]
369: n = 9 m = 2, ms = 19, mst = a[3..8][0..1]
370: n = 6 m = 9, ms = 16, mst = a[0..4][0..1]
371: n = 5 m = 3, ms = 6, mst = a[2..2][0..2]
372: n = 8 m = 6, ms = 23, mst = a[1..5][3..5]
373: n = 10 m = 8, ms = 18, mst = a[8..9][1..7]
374: n = 5 m = 1, ms = 4, mst = a[1..2][0..0]
375: n = 5 m = 5, ms = 13, mst = a[1..3][0..4]
376: n = 6 m = 9, ms = 18, mst = a[1..3][6..8]
377: n = 3 m = 1, ms = 6, mst = a[0..1][0..0]
378: n = 5 m = 6, ms = 14, mst = a[0..3][2..3]
379: n = 1 m = 4, ms = 1, mst = a[0..0][0..0]
380: n = 3 m = 7, ms = 11, mst = a[0..0][0..4]
381: n = 2 m = 6, ms = 5, mst = a[0..1][4..5]
382: n = 3 m = 9, ms = 5, mst = a[0..0][1..2]
383: n = 8 m = 7, ms = 15, mst = a[1..7][4..6]
384: n = 1 m = 8, ms = 4, mst = a[0..0][4..7]
385: n = 4 m = 3, ms = 13, mst = a[0..3][0..1]
386: n = 1 m = 4, ms = 5, mst = a[0..0][0..3]
387: n = 3 m = 3, ms = 7, mst = a[1..2][2..2]
388: n = 10 m = 9, ms = 31, mst = a[2..9][1..6]
389: n = 8 m = 1, ms = 7, mst = a[3..5][0..0]
390: n = 9 m = 5, ms = 33, mst = a[0..7][0..4]
391: n = 1 m = 4, ms = 5, mst = a[0..0][2..3]
392: n = 5 m = 6, ms = 11, mst = a[0..2][0..4]
393: n = 4 m = 8, ms = 18, mst = a[0..3][2..5]
394: n = 8 m = 10, ms = 10, mst = a[0..5][9..9]
395: n = 6 m = 7, ms = 21, mst = a[2..4][1..4]
396: n = 5 m = 8, ms = 26, mst = a[1..3][0..5]
397: n = 6 m = 7, ms = 19, mst = a[3..5][0..6]
398: n = 1 m = 6, ms = 5, mst = a[0..0][0..1]
399: n = 2 m = 8, ms = 4, mst = a[1..1][4..7]
400: n = 4 m = 1, ms = 3, mst = a[1..3][0..0]
401: n = 5 m = 4, ms = 13, mst = a[0..3][0..1]
402: n = 5 m = 2, ms = 4, mst = a[0..0][0..0]
403: n = 1 m = 5, ms = 7, mst = a[0..0][0..2]
404: n = 8 m = 2, ms = 10, mst = a[3..7][0..1]
405: n = 9 m = 8, ms = 25, mst = a[0..6][5..7]
406: n = 3 m = 1, ms = 6, mst = a[0..1][0..0]
407: n = 10 m = 6, ms = 35, mst = a[1..4][0..3]
408: n = 5 m = 8, ms = 15, mst = a[0..4][6..7]
409: n = 2 m = 4, ms = 15, mst = a[0..1][0..2]
410: n = 1 m = 9, ms = 2, mst = a[0..0][0..0]
411: n = 1 m = 9, ms = 7, mst = a[0..0][2..4]
412: n = 4 m = 9, ms = 18, mst = a[0..3][6..8]
413: n = 4 m = 4, ms = 4, mst = a[1..2][2..2]
414: n = 7 m = 4, ms = 11, mst = a[1..6][0..0]
415: n = 8 m = 4, ms = 18, mst = a[1..7][0..3]
416: n = 9 m = 1, ms = 4, mst = a[7..8][0..0]
417: n = 8 m = 5, ms = 9, mst = a[1..3][1..2]
418: n = 3 m = 6, ms = 9, mst = a[0..1][2..3]
419: n = 7 m = 1, ms = 13, mst = a[0..3][0..0]
420: n = 5 m = 9, ms = 31, mst = a[0..4][6..8]
421: n = 2 m = 10, ms = 5, mst = a[0..1][5..5]
422: n = 9 m = 10, ms = 27, mst = a[0..5][1..8]
423: n = 5 m = 10, ms = 12, mst = a[0..3][7..9]
424: n = 8 m = 3, ms = 10, mst = a[0..1][0..2]
425: n = 5 m = 7, ms = 13, mst = a[0..1][0..5]
426: n = 8 m = 8, ms = 18, mst = a[2..3][0..6]
427: n = 1 m = 7, ms = 2, mst = a[0..0][4..6]
428: n = 9 m = 8, ms = 16, mst = a[2..8][0..3]
429: n = 6 m = 7, ms = 44, mst = a[0..5][0..5]
430: n = 3 m = 2, ms = 4, mst = a[2..2][1..1]
431: n = 4 m = 8, ms = 7, mst = a[2..3][7..7]
432: n = 5 m = 10, ms = 28, mst = a[1..4][0..4]
433: n = 7 m = 8, ms = 16, mst = a[1..6][5..6]
434: n = 3 m = 1, ms = 4, mst = a[0..0][0..0]
435: n = 9 m = 4, ms = 8, mst = a[3..5][2..2]
436: n = 2 m = 6, ms = 6, mst = a[0..0][2..3]
437: n = 5 m = 2, ms = 14, mst = a[2..4][0..1]
